language,precision,recall,accuracy,f1-score,specificity,samples
af,99.27,99.75,99.99,99.51,99.99,813
am,98.96,96.94,99.99,97.94,100.0,98
ar,98.43,99.6,99.99,99.01,99.99,251
bg,98.17,98.62,99.96,98.4,99.98,872
bn,100.0,98.37,99.99,99.18,100.0,612
bs,60.19,51.36,98.99,55.43,99.58,845
ca,99.42,98.04,99.97,98.73,99.99,869
co,100.0,98.29,99.98,99.14,100.0,818
cs,98.55,98.77,99.97,98.66,99.98,893
cy,96.31,100.0,99.96,98.12,99.96,756
da,98.26,98.38,99.96,98.32,99.98,863
de,93.86,99.36,99.9,96.53,99.91,939
el,99.42,97.51,99.96,98.45,99.99,882
en,99.11,93.16,99.71,96.04,99.97,2631
eo,95.48,98.71,99.93,97.07,99.94,855
es,96.25,99.01,99.94,97.61,99.95,908
et,98.88,98.51,99.97,98.69,99.99,805
eu,98.74,99.47,99.98,99.11,99.98,947
fa,84.62,100.0,100.0,91.67,100.0,11
fi,99.64,99.4,99.99,99.52,100.0,835
fr,96.36,99.53,99.92,97.92,99.93,1278
fy,99.51,98.79,99.98,99.15,99.99,826
ga,98.64,99.2,99.97,98.92,99.98,877
gd,99.62,99.24,99.99,99.43,100.0,791
gl,98.22,97.67,99.95,97.94,99.98,902
gu,99.61,99.22,99.99,99.42,100.0,773
ha,99.52,99.76,99.99,99.64,99.99,837
hi,92.75,99.74,99.91,96.12,99.91,757
hr,57.27,67.34,98.99,61.9,99.38,842
ht,99.9,100.0,100.0,99.95,100.0,976
hu,98.81,99.35,99.98,99.08,99.98,918
hy,100.0,97.01,99.96,98.48,100.0,903
id,87.31,71.64,99.51,78.7,99.87,864
ig,98.81,93.05,99.91,95.85,99.99,806
is,99.73,100.0,100.0,99.87,100.0,745
it,95.73,95.09,99.88,95.41,99.94,896
ja,95.92,96.91,99.99,96.41,99.99,97
jv,99.07,89.11,99.86,93.83,99.99,836
ka,100.0,95.96,99.95,97.94,100.0,891
kk,99.87,98.98,99.99,99.42,100.0,781
km,99.19,92.48,99.98,95.72,100.0,133
kn,100.0,99.21,99.99,99.61,100.0,763
ko,99.88,98.73,99.98,99.3,100.0,867
ku,99.39,99.27,99.98,99.33,99.99,827
ky,99.18,97.81,99.96,98.49,99.99,869
la,98.0,94.35,99.91,96.14,99.98,779
lb,99.1,94.0,99.92,96.48,99.99,816
lo,99.12,91.26,99.93,95.03,99.99,492
lt,99.23,98.37,99.97,98.8,99.99,923
lv,99.43,99.89,99.99,99.66,99.99,873
mg,99.67,99.67,99.99,99.67,100.0,612
mi,99.79,98.54,99.98,99.16,100.0,959
mk,99.66,100.0,100.0,99.83,100.0,878
ml,100.0,99.48,100.0,99.74,100.0,573
mn,99.87,100.0,100.0,99.93,100.0,749
mr,95.9,99.83,99.96,97.83,99.96,586
ms,74.85,91.24,99.52,82.24,99.62,845
mt,98.67,99.44,99.98,99.06,99.98,898
my,98.51,86.84,99.98,92.31,100.0,76
ne,95.64,99.13,99.95,97.35,99.96,575
nl,97.47,98.94,99.97,98.2,99.98,662
pa,100.0,99.35,99.99,99.67,100.0,771
pl,97.27,99.89,99.96,98.56,99.96,892
ps,100.0,93.81,99.99,96.81,100.0,97
pt,98.3,98.86,99.96,98.58,99.98,876
ro,98.89,99.44,99.98,99.17,99.99,899
ru,91.31,99.89,99.87,95.41,99.87,894
sd,96.97,94.12,100.0,95.52,100.0,34
si,99.0,98.68,99.98,98.84,99.99,605
sk,97.9,98.77,99.96,98.33,99.97,896
sl,98.3,98.07,99.95,98.18,99.98,882
sn,99.65,98.43,99.98,99.04,100.0,575
so,99.74,94.75,99.94,97.18,100.0,800
sq,98.91,98.55,99.97,98.72,99.99,825
sr,98.66,93.87,99.91,96.2,99.98,864
su,93.28,98.34,99.89,95.74,99.91,903
sv,97.93,99.75,99.97,98.84,99.97,808
sw,99.87,99.61,99.99,99.74,100.0,764
ta,100.0,99.05,99.99,99.52,100.0,740
te,99.74,99.22,99.99,99.48,100.0,773
tg,99.42,94.15,99.92,96.71,99.99,906
th,90.3,98.54,99.95,94.24,99.96,274
tr,95.4,99.88,99.94,97.59,99.94,830
uk,99.34,98.8,99.98,99.07,99.99,914
ur,98.9,100.0,100.0,99.45,100.0,180
uz,99.08,98.95,99.98,99.02,99.99,764
vi,68.46,99.75,99.47,81.19,99.46,792
xh,99.87,96.5,99.96,98.15,100.0,799
yi,100.0,96.74,99.96,98.34,100.0,798
yo,99.71,49.28,99.49,65.96,100.0,694
zh,84.62,95.06,99.97,89.53,99.98,81
Micro,96.27,96.18,99.93,96.23,99.96,68784
Macro,96.52,96.15,99.92,96.14,99.96,68784
